No,회사,제목,지역,상세보기 페이지
16,주식회사 이지서티,"솔루션 플랫폼 개발자 경력 (JAVA, C 등)",서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290000826&src=etc*search
17,파워에이치알,[중견 IT솔루션] Java 개발자(경력 5년 - 12년),서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270004938&src=etc*search
18,커리어커넥트(주),대형저축은행 IT개발팀원 (금융권 여신업무 JAVA 개발자),서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604060001318&src=etc*search
19,(주)라스테크,<5.27(수) 대전 일자리수요데이 참여 업체>  공공/민간 SI 및 SM 프로젝트 JAVA개발자 모집,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110005531&src=etc*search
20,소프트디비코리아(주),[주식회사 시스플랫] JAVA/JSP 초급(3년이상) 또는 중급 웹 개발자 모집합니다.,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080003472&src=etc*search
21,(주)디자인그룹나인,[파견/12개월/여의도] 보험사 차세대 프로젝트/ 중-고급 Java개발자 구인,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080003161&src=etc*search
22,(주)디자인그룹나인,[파견/3~5개월] 대기업 웹 서비스 구축 및 운영,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060002406&src=etc*search
23,파워에이치알,[중견 IT솔루션] 연계솔루션 기술지원(경력 3년 - 12년),서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270004939&src=etc*search
24,탑커리어인사이트,상장기업 AI솔루션 백엔드개발,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605090001036&src=etc*search
25,네오,웹 개발자 모집,광주 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270002259&src=etc*search
26,(주)체스트넛,웹/앱 개발 신입,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150000895&src=etc*search
27,우진이앤에스(주),AI 기반 BEMS·산업 IoT 소프트웨어 개발자 신입/경력 정규직 채용 ? 산업 IoT·PLC 연동,전북 완주군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060005034&src=etc*search
28,안진회계법인,[딜로이트 안진회계법인] 회계감사부문 AI Asset & Analytics 개발 직무 계약직(정규직 전환형),서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270002421&src=etc*search
29,(주)씨에프정보통신,(주)싸이크로스Web/App 개발자 경력사원 모집,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604280003548&src=etc*search
30,신진아이티,응용 프로그래머 채용(경력직),대전 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270003007&src=etc*search
31,지니코딩스쿨컴퓨터학원,IT교육/프로그래밍강사/컴퓨터강사/AI교육강사,부산 해운대구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070001162&src=etc*search
32,(주)디자인그룹나인,[파견/6개월] 리엑트 UI 퍼블리싱,경기 오산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180001103&src=etc*search
33,(주)웹비즈크리에이티브,"웹/앱 프로그래머, 디자이너, 퍼블리셔 모집합니다.",서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290004305&src=etc*search
34,한진정보통신(주),진에어 IT Application 개발 전문가 모집,서울 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070004337&src=etc*search
35,(주)단비아이엔씨,[채용-상시] 인공지능 전문기업 단비아이엔씨에서 개발자를 모집합니다. (경력5년이상~10년이하),서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060002074&src=etc*search
36,(주)비아이매트릭스,[코스닥기업] 솔루션 개발 PM/PL 채용,서울 강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060004438&src=etc*search
37,제노솔루션주식회사,[제노솔루션] 금융 시스템 운영(초급 / 중급),서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180000346&src=etc*search
38,주식회사 라피플코리아리미티드,국내 유명 제조기업의 중국 생산법인 - IT manager(대리-차장),중국 톈진,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190000907&src=etc*search
39,주식회사 쓰리에이치에스,3년차 이상 개발자 채용,서울 구로구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060001207&src=etc*search
40,(주)씨에프정보통신,(주)싸이크로스Web/App 개발자 신입사원 모집,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604280003571&src=etc*search
41,(주)케인앤클루컨설팅,컨택센터 콜시스템 운영/개발 사원(대리)급 경력사원 모집,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000192&src=etc*search
42,(주)와이엔브이,사내 전산시스템(PLM/MES) 유지보수 담당자 모집,부산 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604280003457&src=etc*search
43,(주)케인앤클루컨설팅,[손해보험] IFRS17 결산시스템 운영 경력사원 모집,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150000855&src=etc*search
44,우리에프아이에스(주),업무지원시스템 개발/운영(계약직) 경력 채용,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605010000414&src=etc*search
45,(주)선진엔지니어링종합건축사사무소,[경력] ERP 유지보수 및 신규 개발 담당자 채용,경기 과천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604200002452&src=etc*search
46,(주)엘지씨엔에스,[LG CNS] MES개발자 분야 모집(경력),서울 강서구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604210000148&src=etc*search
47,제론소프트엔,서버구축 및 현장지원 엔지니어 채용,경기 과천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604160000162&src=etc*search
48,HR컨설팅(주),IFRS17 시스템 개발 운영 경력(그룹사),서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150001963&src=etc*search
49,(주)에버에듀시스템,SI 및 SM  설계 및 개발자 모집 합니다,서울 마포구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080000969&src=etc*search
50,(주)디자인그룹나인,[파견12개월or정규직/서초역] 자사 서비스 안드로이드/IOS개발자모집,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060002443&src=etc*search
51,(주)케인앤클루컨설팅,AI개발/운영 경력사원 모집,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000268&src=etc*search
52,커리어커넥트(주),유명의류업체 IT팀원 (워드프레스 필수),서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605010001512&src=etc*search
53,(주)에이치알컨설팅그룹,"WEB 및 F/W 개발, 제조 IT 솔루션 기획 경력직",서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270001953&src=etc*search
54,스마터빌드 주식회사,스마트팩토리 솔루션 개발 및 운영 담당자,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603160004518&src=etc*search
55,(주)에스디파마,의약품 유통 플랫폼 및 AI 서비스 개발자를 찾습니다.,경기 남양주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120002246&src=etc*search
56,(주)비엔케이저축은행,BNK저축은행 경력직원 모집,부산 동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040000174&src=etc*search
57,가톨릭대학교 산학협력단,[가톨릭대학교 산학협력단] 직원 채용(프로그램 개발 및 운영 관리),서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120001746&src=etc*search
58,드림에이치알,차세대 ERP 구축 및 운영 PL (재무/관리/인사/BI 영역)-반도체 솔루션 유통 기업,경기 성남시 분당구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604060001194&src=etc*search
59,지식시스템(주),[KSTEC] RPA 개발 채용,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080000946&src=etc*search
60,(주)에이치알컨설팅그룹,제조업 솔루션) WEB 및 FW 개발/기획,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270003414&src=etc*search
61,현대자동차(주),[SDF] Manufacturing DX Senior Full-Stack Engineer,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605020000124&src=etc*search
62,(주)다날,(주)다날 [경력] 금융 서비스 BE 개발자,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040001379&src=etc*search
63,롯데쇼핑(주),[롯데백화점] 바샤커피 채용,서울 중구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604200002498&src=etc*search
64,주식회사 오톰,정부과제 관리 담당자(선임급/서울),서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604200001073&src=etc*search
65,(주)다날,(주)다날 [경력] MVNO 서비스 BE 개발자,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040002366&src=etc*search
66,(주)스카우트파트너스,솔루션 개발자 채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180000925&src=etc*search
67,(주) 캠 테크,시스템 엔지니어를 모십니다,울산 북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080004650&src=etc*search
68,(주) KB데이타시스템,장기보험 청약 시스템 개발 및 운영,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150000266&src=etc*search
69,(주)다날,(주)다날 [경력] 결제 서비스 BE 개발자,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040002373&src=etc*search
70,SK(주),설비(Utility) 정보화 분야 전문가 영입,경기 성남시 분당구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604220002195&src=etc*search
71,(주)안랩,[경력] SW개발(Windows),경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604240000840&src=etc*search
72,(주)맨파워써치앤컨설팅,[대구] 외국계 IT 시스템 개발 경력,대구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605010001386&src=etc*search
73,케이뱅크,계정계 수신 업무 개발 및 운영 담당자,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290003964&src=etc*search
74,(주)카카오모빌리티,물류 & 에이전트 개발실 백엔드 개발자,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080003270&src=etc*search
75,(주)비아이매트릭스,[코스닥기업] 생성형 AI 연구개발 채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060004437&src=etc*search
76,플랫폼비앤티 주식회사,연구개발직,경남 진주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290004237&src=etc*search
77,케이포시큐리티(주),응용 소프트웨어 개발자,서울 구로구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604300003288&src=etc*search
78,주식회사TEF,기업부설연구소 연구원 모집(SW개발),전남 순천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040001831&src=etc*search
79,선도솔루션(주),PDM/PLM  운영 유지보수 엔지니어 모집,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040004300&src=etc*search
80,(주)라스테크,<5.27(수) 대전 일자리수요데이 참여 업체> 로봇 통합관리 시스템 개발자(Frontend / Fullstack),대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110005747&src=etc*search
81,(주)더원정보,기업부설연구소 시스템 소프트웨어 개발자(연구원) 모집,대구 달성군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080004765&src=etc*search
82,(주)더위로,소프트웨어 개발 및 컨설팅 관리직 모집,부산 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110001849&src=etc*search
83,주식회사 빅앤딥,"[서울 문정] [경력3년이상 4,300~8,500] C++응용소프트웨어, 앱개발자 등",서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060005530&src=etc*search
84,(주)라이온로보틱스,[26년 5/27(수) 우주국방 등 지역 특화산업 일자리 수요데이-(주)라이온로보틱스/ 소프트웨어개발 엔지니어 채용],대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110003307&src=etc*search
85,(주)퍼포먼스플러스,AI 서비스 개발자 채용,제주 제주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110000380&src=etc*search
86,(주)비에스,C# 프로그램 개발자 채용,경북 포항시 북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270001290&src=etc*search
87,조은테크,공장 자동화 소프트웨어 개발자를 찾습니다.,경북 포항시 남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604200004418&src=etc*search
88,(주)두타기술,<5.27(수) 대전 일자리수요데이 참여 업체>,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110004947&src=etc*search
89,(주)티엔글로벌,nexacro 개발자(화면+ 스크립트),광주 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040004359&src=etc*search
90,크리티컬,웹 앱 개발 프론트엔드 신입/경력 모집,대구 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060002036&src=etc*search
91,플랜트에셋(주),AVEVA E3D 개발자 경력,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060002956&src=etc*search
92,위킵센,[위킵센] AI 기반 글로벌 수출 자동화 플랫폼 연구전담요원 채용 (R&D),대구 북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110004092&src=etc*search
93,그레이스앤파트너스,컨텍센터 시스템 운영/(3~ 8년) - 금융그룹 ICT,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000934&src=etc*search
94,트리코니,AI/ML 엔지니어 (3년이상),서울 마포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605010001684&src=etc*search
95,(주)이에스피시스템즈,[창원] 퇴직연금 AI 로보어드바이저(RA) 일임서비스 구축 고급개발자 모집,경남 창원시 마산회원구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080002969&src=etc*search
96,그레이스앤파트너스,"IFRS17 결산 경력/(4~ 12년)/(C, SQL 중급 이상~ ) - 금융그룹 ICT",서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150001042&src=etc*search
97,모스원 주식회사,코스닥 양자보안업체 보안칩 SW개발,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604200002419&src=etc*search
98,(주)케인앤클루컨설팅,이커머스 ITO서비스 경력사원 모집,서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060004341&src=etc*search
99,(주)케인앤클루컨설팅,해상화재보험/자동차보험 S/W개발 경력직 모집,서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310002874&src=etc*search
100,제이에스엘인재개발원(주),[일본취업]AI 활용 클라우드 기반 웹 개발자 양성과정 1기 연수생 모집 ( ~ 06.15(월)),대전 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270003924&src=etc*search
101,파워에이치알,[코스피-신용평가업체] 금융권 애플리케이션개발,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070005283&src=etc*search
102,씨제이올리브네트웍스 주식회사,[경력] 프로젝트 Application Architect,서울 용산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604220002039&src=etc*search
103,(주)피앤피시큐어,[피앤피시큐어 및 관계사] SW 연구개발직군 신입/경력 공개채용,서울 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270000352&src=etc*search
104,(주)커리어앤스카우트,국내 기술혁신 IT 전문기업 웹개발 경력직,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604230001946&src=etc*search
105,(주)투비파트너즈,"헤드헌터 초빙 - 가전, 전자, 자동차, 바이오, 식품, 소비재, 생활용품, IT 분야",서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605090001041&src=etc*search
106,주식회사 비온에이치알,우량 스타트업  영어능통 개발 임원,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604130004141&src=etc*search
107,(주)테라닉스,제품 개발,경기 의정부시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604280003913&src=etc*search
108,에이치알포유(주),[] Grobal 조류탐지 레이더 [] Web 풀스택 개발,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605100000145&src=etc*search
109,(주)유라클,[Leading the AI] 유라클 서비스 운영 개발자 모집,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000919&src=etc*search
110,(주)엔터웨이파트너스,[Front-End개발자-미디어랩사],서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060004150&src=etc*search
111,(주)퍼브,(주)퍼브 SAP HR 전문 ABAP 개발자 프리랜서 채용,경기 과천시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604140000290&src=etc*search
112,(주)엘에프,IT개발자 (상품기획/소싱정보시스템),서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604210002453&src=etc*search
113,카카오뱅크,데이터 엔지니어 - 빅데이터,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604230002046&src=etc*search
114,안진회계법인,딜로이트컨설팅 HR DX 및 HR IT 전문 컨설턴트 경력직,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070000270&src=etc*search
115,안진회계법인,[딜로이트 컨설팅] HR DX 및 HR IT 전문 컨설턴트 경력직,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070001624&src=etc*search
116,(주)케인앤클루컨설팅,SW개발 리더(과장~차(부)장급) 경력사원 모집,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000223&src=etc*search
117,연세대학교의료원 산학협력단,연세대학교 의생명시스템정보학과 서버/소프트웨어 엔지니어 모집,서울 서대문구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150000252&src=etc*search
118,지식시스템(주),[KSTEC] AI 기반 IDP 개발   /  Agentic AI  솔루션 고도화 경력 채용,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604170001615&src=etc*search
119,지식시스템(주),[KSTEC] AI 기반 IDP  개발 / Agentic AI 솔루션 개발 채용,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604170001618&src=etc*search
120,샘표식품,시스템 운영개발(DevOps)(정규직),서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120000148&src=etc*search
121,시니어앤파트너즈,[양재역] 반도체 제조설비 데이터수집 & Edge컴퓨팅(책임~부장급),서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605100000093&src=etc*search
122,(주)디자인그룹나인,[파견/약9개월] VMS 개발 및 유지보수/고급,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000875&src=etc*search
123,(주)디자인그룹나인,[파견/9개월/시청역] 금융권(보험) 고급 개발자 모집,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000938&src=etc*search
124,(주)디자인그룹나인,[파견/8개월] 대기업 프로젝트 Report 개발자 모집,경기 이천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000941&src=etc*search
125,(주)디자인그룹나인,[파견/12개월] 쇼핑몰 시스템 운영/ 고급 ASP 개발자 구인,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000948&src=etc*search
126,(주)디자인그룹나인,[파견/7개월] 대기업 AEM기반 프로젝트/ 개발자 구인,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060002475&src=etc*search
127,(주)디자인그룹나인,[파견/12개월/기흥] 대기업 파이썬 개발자 모집,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250002153&src=etc*search
128,(주)디자인그룹나인,[파견/약2개월] 기업용 생성형 AI 서비스 플랫폼 개발(연장 가능),서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060002516&src=etc*search
129,(주)디자인그룹나인,[파견/12개월] 지문인식 알고리즘 개발자 모집,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180001101&src=etc*search
130,(주)디자인그룹나인,[정규직or 파견/공덕역] 자사 서비스 React 개발자모집,서울 마포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250001938&src=etc*search
131,(주)디자인그룹나인,[파견/11.5개월/잠실] 대형SI업체 AI 플랫폼 백엔드 개발자 구인,서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000906&src=etc*search
132,(주)디자인그룹나인,[파견/10개월/여의도 ] 금융사 블록체인 고급 개발자 모집,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290003883&src=etc*search
133,(주)디자인그룹나인,[파견/6개월/여의도] 보험사 OSS / CI/CD 운영 고급 개발자 모집,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290003894&src=etc*search
134,(주)디자인그룹나인,[파견/3개월/남부터미널역] 리액터 프론트 개발자 중급 모집,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290003897&src=etc*search
135,(주)디자인그룹나인,[파견/3개월/용인구성역] 대기업 골프세일즈 시스템 DB 암호화 중급 모집,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290002979&src=etc*search
136,(주)디자인그룹나인,[파견/12개월/보라매] 세금 트러블 슈팅 DBA 고급 개발자 모집,서울 동작구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290002989&src=etc*search
137,(주)디자인그룹나인,[파견/6개월/여의도] 물류 OCI DR 구축 DBA 중급 개발자 모집,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290002996&src=etc*search
138,(주)디자인그룹나인,[파견/12개월/여의도] 보험사 변액중계 개발자  모집,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080003111&src=etc*search
139,(주)디자인그룹나인,[파견/12개월/기흥] 대기업 파이썬 고급 개발자 모집,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080003132&src=etc*search
140,(주)디자인그룹나인,[파견/4개월/강남or가산] 기업내 재난관리시스템 프론트엔드 개발자 모집,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080003169&src=etc*search
141,주식회사 컬리,풀필먼트 시니어 프론트엔드 개발자,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060005375&src=etc*search
142,(주)디자인그룹나인,[파견/4개월]인하우스 시스템 개발 프로젝트,경기 광명시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150001063&src=etc*search
143,(주)디자인그룹나인,[파견/9개월/수원] 대기업 파이썬 고급 개발자 모집,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150001067&src=etc*search
144,(주)디자인그룹나인,"[파견/8개월] 대기업 웹, 모바일 운영 프론트 & 백엔드 개발자모집",경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604220001795&src=etc*search
145,(주)디자인그룹나인,[파견/약3개월] 관리자 & 제휴업체 어드민 프론트엔드 개발자 모집,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604220001901&src=etc*search
146,(주)디자인그룹나인,[파견/8개월/시청] 보험사 AI ML개발자 모집,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604220001906&src=etc*search
147,(주)디자인그룹나인,[파견/6개월/기흥] 대기업 고급 개발자 DW 모집,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080002151&src=etc*search
148,(주)디자인그룹나인,[파견/4개월/강남or가산] 기업내 재난관리시스템 AI개발자 모집,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080002913&src=etc*search
149,나이스디앤알 주식회사,[NICE디앤알] 웹 퍼블리싱 담당자 채용,서울 서대문구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080004996&src=etc*search
150,케이뱅크,정보보호 관리체계 운영,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290000750&src=etc*search
